"","Id","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","IG_P","IG_Follows","category_G","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"71","00Q3q00001W5SRKEA3","FALSE","Home Construction","Home Remodeling",0,1,"General Contractor",2,FALSE,0,0,0,TRUE,6,5,10.8571428571429,FALSE,0,0,0,FALSE,0,0,0,0,FALSE,0,"General Contractor",6,5,10.8571428571429,1,6,5,10.8571428571429
"72","00Q3q00001Zv87oEAB","FALSE","Home Maintenance","House Cleaning",1,2,"Cleaner",3,TRUE,1,5,144,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Cleaner",1,5,144,2,0.5,2.5,72
"73","00Q3q00001ZtIdQEAV","FALSE","Home Construction","Roof Installation or Replacement",0,2,"Roofer and Sider",1,TRUE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Roofer and Sider",0,0,0,2,0,0,0
"74","00Q3q00001ZwkyJEAR","FALSE","Home Systems","Electrical and Wiring Repair",0,2,"Electrician",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,3,4.7,6.14285714285714,FALSE,0,0,0,0,FALSE,0,"Handyman/Electrician",3,4.7,6.14285714285714,2,1.5,2.35,3.07142857142857
"75","00Q3q00001Zv8aDEAR","FALSE","Home Maintenance","Outdoor Landscaping and Design",0,2,"Landscaper",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Landscaper 1",0,0,0,1,0,0,0
"76","00Q3q00001ZtIdKEAV","FALSE","Home Maintenance","Tree Trimming and Removal",1,1,"Landscaper",2,FALSE,0,0,0,TRUE,3,5,346.285714285714,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Landscaper 1",3,5,346.285714285714,2,1.5,2.5,173.142857142857
"77","00Q3q00001ZwlFREAZ","FALSE","Home Maintenance","House Cleaning",1,1,"Cleaner",2,TRUE,0,0,0,TRUE,13,3.9,268.428571428571,TRUE,35,4.8,1,TRUE,13,2.5,3,21,TRUE,1181,"Cleaner",61,11.2,272.428571428571,4,15.25,2.8,68.1071428571427
"78","00Q3q00001aNwC7EAK","FALSE","Home Systems","Wiring Installation",0,2,"Electrician",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Handyman/Electrician",0,0,0,1,0,0,0
"79","00Q3q00001ZevilEAB","FALSE","Home Systems","Plumbing Pipe Repair",0,2,"Plumber",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Plumber",0,0,0,1,0,0,0
"80","00Q3q00001ZIaq7EAD","FALSE","Home Maintenance","Interior Painting",0,3,"Painter",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,38,4.6,2.42857142857143,TRUE,14,5,203.571428571429,1,FALSE,0,"Painter",52,9.6,206,2,26,4.8,103
"81","00Q3q00001Zwl4YEAR","FALSE","Home Construction","General Contracting",0,2,"General Contractor",2,TRUE,1,5,192,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"General Contractor",1,5,192,2,0.5,2.5,96
"82","00Q3q00001ZwlAIEAZ","FALSE","Home Systems","Electrical and Wiring Repair",1,1,"Electrician",3,TRUE,4,4,48,TRUE,0,0,0,TRUE,2,5,829.857142857143,TRUE,0,0,0,0,FALSE,0,"Handyman/Electrician",6,9,877.857142857143,4,1.5,2.25,219.464285714286
"83","00Q3q00001aNax7EAC","FALSE","Home Construction","General Contracting",1,1,"General Contractor",3,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,TRUE,80,"General Contractor",0,0,0,2,0,0,0
"84","00Q3q00001aNabsEAC","FALSE","Home Construction","General Contracting",0,2,"General Contractor",1,TRUE,0,0,0,FALSE,0,0,0,TRUE,1,5,446.714285714286,FALSE,0,0,0,0,FALSE,0,"General Contractor",1,5,446.714285714286,2,0.5,2.5,223.357142857143
"85","00Q3q00001ZHlkQEAT","FALSE","Home Systems","Appliance Repair or Maintenance",0,3,"Handyman",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,9,4.35,408.428571428571,TRUE,0,0,0,0,FALSE,0,"Handyman/Electrician",9,4.35,408.428571428571,2,4.5,2.175,204.214285714285
"86","00Q3q00001aOlOfEAK","FALSE","Home Construction","General Carpentry",1,3,"Carpenter",3,TRUE,6,5,48,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,"Carpenter",6,5,48,3,2,1.66666666666667,16
