"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"132","FALSE","Home Construction","Concrete Installation",0,"Mid","Paver",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,4,5,60,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,4,5,60,1,4,5,60
"133","FALSE","Home Systems","Electrical and Wiring Repair",0,"Mid","Electrician",1,TRUE,0,0,0,FALSE,0,0,0,TRUE,17,4.5,533.285714285714,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,1828,17,4.5,533.285714285714,2,8.5,2.25,266.642857142857
"134","FALSE","Home Construction","Bathroom Remodel",1,"High","General Contractor",2,TRUE,18,4.3,24,FALSE,0,0,0,TRUE,0,0,0,TRUE,1,1,120.285714285714,2,TRUE,30,4.3,1.14285714285714,3322,3380,TRUE,321,49,9.6,145.428571428571,4,12.25,2.4,36.3571428571428
"135","FALSE","Home Maintenance","Full Service Lawn Care",0,"Mid","Landscaper",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"136","FALSE","Home Construction","Tile Installation and Replacement",1,"Mid","Floor, Carpet, and Tile Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,6,4.3,8.28571428571429,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,6,4.3,8.28571428571429,1,6,4.3,8.28571428571429
"137","FALSE","Home Construction","Drywall Repair and Texturing",0,"High","Drywall Specialist",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,977,TRUE,2,5,54,2,FALSE,0,0,0,0,0,FALSE,0,3,10,1031,2,1.5,5,515.5
"138","FALSE","Home Maintenance","Full Service Lawn Care",0,"Mid","Landscaper",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,20,4.48,632.714285714286,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,20,4.48,632.714285714286,1,20,4.48,632.714285714286
"139","FALSE","Home Construction","Hardwood Floor Refinishing",0,"Mid","Floor, Carpet, and Tile Specialist",1,TRUE,5,5,24,FALSE,0,0,0,TRUE,2,5,24.7142857142857,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,7,10,48.7142857142857,2,3.5,5,24.3571428571429
"140","FALSE","Home Construction","Carpet Installation",1,"Mid","Floor, Carpet, and Tile Specialist",2,TRUE,16,4.5,2,FALSE,0,0,0,TRUE,1,5,266.428571428571,FALSE,0,0,0,0,TRUE,22,5,153.285714285714,487,494,FALSE,0,39,14.5,421.714285714285,3,13,4.83333333333333,140.571428571428
"141","FALSE","Home Systems","Electrical and Wiring Repair",1,"Mid","Electrician",3,TRUE,3,5,28,FALSE,0,0,0,TRUE,14,4.9,31.2857142857143,FALSE,0,0,0,0,FALSE,0,0,0,55,55,TRUE,510,17,9.9,59.2857142857143,2,8.5,4.95,29.6428571428571
